subj_code,bin,type,total_valid_answers,subj_accuracy,prompt,response,category,category_type,uuid,correct_res,incorrect_res
A10JXOU89D5RXR,4,target,71,0.830985915492958,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A120PN22KW0VPY,4,target,71,0.732394366197183,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A1CN1H9UODZ1E6,4,target,71,0.647887323943662,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,0,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A1UY2W2FL9CWN,4,target,71,0.873239436619718,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A2SY0XL28MLUTW,4,target,71,0.816901408450704,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A336V7IY38Q2WN,4,target,71,0.774647887323944,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A346XUUK22V9AZ,4,target,71,0.845070422535211,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
AHRQCN5HVAZY4,4,target,71,0.605633802816901,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
AVD6HMIO1HLFI,4,target,71,0.845070422535211,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
AWKX5GXJ8QYP7,4,target,71,0.732394366197183,Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,1,two_refs_egocentric,two_refs_egocentric_target,5791bbd9-ab0d-46e8-bfb8-d8a2d8ab9bd2,towards,away from
A10JXOU89D5RXR,4,target,71,0.830985915492958,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A120PN22KW0VPY,4,target,71,0.732394366197183,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,0,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A1CN1H9UODZ1E6,4,target,71,0.647887323943662,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A1UY2W2FL9CWN,4,target,71,0.873239436619718,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A2SY0XL28MLUTW,4,target,71,0.816901408450704,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A336V7IY38Q2WN,4,target,71,0.774647887323944,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A346XUUK22V9AZ,4,target,71,0.845070422535211,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
AHRQCN5HVAZY4,4,target,71,0.605633802816901,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
AKSJ3C5O3V9RB,4,target,59,0.830508474576271,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
AVD6HMIO1HLFI,4,target,71,0.845070422535211,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,0,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
AWKX5GXJ8QYP7,4,target,71,0.732394366197183,Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,1,geocentric_distant,geocentric_distant_target,a620f260-0f81-45c0-87a5-80355c0fec7f,further from,closer to
A10JXOU89D5RXR,4,target,71,0.830985915492958,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A120PN22KW0VPY,4,target,71,0.732394366197183,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A1CN1H9UODZ1E6,4,target,71,0.647887323943662,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A1UY2W2FL9CWN,4,target,71,0.873239436619718,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A2SY0XL28MLUTW,4,target,71,0.816901408450704,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A336V7IY38Q2WN,4,target,71,0.774647887323944,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A346XUUK22V9AZ,4,target,71,0.845070422535211,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
AHRQCN5HVAZY4,4,target,71,0.605633802816901,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
AKSJ3C5O3V9RB,4,target,59,0.830508474576271,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
AVD6HMIO1HLFI,4,target,71,0.845070422535211,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
AWKX5GXJ8QYP7,4,target,71,0.732394366197183,Ali is facing Chicago. Ali turns right. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,b054c9a8-8ae5-42ae-8771-d39aa8c11479,left of,right of
A10JXOU89D5RXR,4,target,71,0.830985915492958,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
A120PN22KW0VPY,4,target,71,0.732394366197183,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
A1CN1H9UODZ1E6,4,target,71,0.647887323943662,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
A1UY2W2FL9CWN,4,target,71,0.873239436619718,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
A2SY0XL28MLUTW,4,target,71,0.816901408450704,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
A336V7IY38Q2WN,4,target,71,0.774647887323944,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
A346XUUK22V9AZ,4,target,71,0.845070422535211,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
AHRQCN5HVAZY4,4,target,71,0.605633802816901,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,0,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
AKSJ3C5O3V9RB,4,target,59,0.830508474576271,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
AVD6HMIO1HLFI,4,target,71,0.845070422535211,Ali is facing away from Chicago. Ali turns around. Chicago is BLANK Ali.,1,egocentric_distant,egocentric_distant_target,49a33aab-df02-4990-beab-2a4f987d1064,in front of,behind
